Putative_species,Original_order,Accession,Style_length,Stamen_length,Flower_length,Flower_width,Pedicel_length,Tooth_length,Tooth_width,Sinus_depth,Leaf_width,Leaf_length,Free_stipule_length,Petiole_hair_length,Laminar_hairs,Viscid,Pendent_fls,Calciphile,Bloom_date,Axis_3,Notes
missouriensis,151,Earle_166_NY,1.16,1.13,1.88,1.61,3.74,4.66,9.75,6.36,15.2,8.9,2.46,2.92,0.86,1,0,0,8/31/1890,-0.32842,
missouriensis,152,Earle_s.n._NY,1.02,1.1,2.85,1.91,3.07,2.41,4.91,4.88,7.4,4.1,1.67,1.9,0.7,1,0,0,9/19/1886,-0.84096,
missouriensis,153,French_s.n._NY_Union_Co.,1.31,1.02,2,1.48,5.74,3.78,6.93,4.77,8.8,5.7,2.72,2.33,1.64,1,0,0,9/9/1878,-1.1266,
missouriensis,154,French_s.n._NY_Union_co._,1.02,1.26,1.7,1,2.67,2.21,7.5,7.53,9.2,5.6,2.2,1.4,1.12,1,0,0,8/26/1873,1.9693,
missouriensis,155,Eggleston_5478_NY,0.72,0.81,1.6,1.58,3.29,1.88,9.24,3.72,10.5,7.2,2.36,1.81,0.72,1,0,0,10/11/09,0.23905,
missouriensis,156,Kral_NY_41238,1.05,0.93,1.29,0.79,2.18,2.38,2.98,3.4,11.6,7.1,3.83,1.37,0.58,1,0,0,9/23/70,0.79819,
missouriensis,157,Steyermark_11542_MO_(type_loc),1.17,1.28,2.24,1.62,4.9,5.65,8.65,4.95,11.2,7.5,2.59,1.78,1.25,1,0,1,7/9/36,-1.0212,
missouriensis,158,Hudson_495_MO_(type_loc),1.28,1.09,1.82,1.54,4.11,4.37,8.4,6.1,10.6,6.5,1.77,1.34,0.7,1,0,1,7/27/94,0.030874,
missouriensis,159,McCree_947_MO,1.13,1.28,2.11,1.94,5.86,3.46,6.91,4.39,10.8,8.1,1.27,1.07,1.08,1,0,0,7/23/41,-0.90824,
missouriensis,160,French_s.n._Carbondale_MO,1.27,1.28,2.08,1.69,5.03,7.55,10.66,8.05,12.3,8.8,1.23,2.44,1.35,1,0,0,,-1.0023,
missouriensis,161,Eggert_s.n_MO_Black_Creek_Falls,0.83,0.96,1.8,1.58,4.14,1.35,2.69,2.96,5.2,3.3,1.17,0.66,1.06,1,0,0,7/10/1898,-0.21725,
missouriensis,162,Eggleston_5478_MO,1.07,1.4,1.54,1.56,3.39,2.64,6.67,4.68,7.8,5.1,2.86,2.61,1.14,1,0,0,10/11/09,-0.74323,
missouriensis,163,Harper_3540_MO,1.15,1.5,1.58,1.51,3.2,1.56,3.69,3.35,6.6,4.2,1.28,1.31,0.87,1,0,0,10/18/36,0.00049343,
missouriensis,164,Earle_s.n._MO,1.03,1.5,2.14,1.42,5.02,2.97,6.02,4.89,7.2,4.8,1.5,1.88,0.72,1,0,0,9/19/1886,0.053019,
puberula,165,Summers_6457_MO,2.43,1.71,2.93,1.89,11.76,2.38,5.76,3.9,4,2.7,1.02,0.01,0.52,1,1,1,9/11/93,2.3024,
